tensor_id,layer_name,layer_type,shape,dtype,num_parameters,parameter_percentage,requires_grad,quantized
0,model.embed_tokens.weight,Embedding,"(32000, 2048)",torch.bfloat16,65536000,10.645765480440069,True,False
1,model.layers.0.self_attn.q_proj.weight,Attention,"(2097152, 1)",torch.uint8,2097152,0.3406644953740822,False,True
2,model.layers.0.self_attn.k_proj.weight,Attention,"(262144, 1)",torch.uint8,262144,0.04258306192176028,False,True
3,model.layers.0.self_attn.v_proj.weight,Attention,"(262144, 1)",torch.uint8,262144,0.04258306192176028,False,True
4,model.layers.0.self_attn.o_proj.weight,Attention,"(2097152, 1)",torch.uint8,2097152,0.3406644953740822,False,True
5,model.layers.0.mlp.gate_proj.weight,MLP,"(5767168, 1)",torch.uint8,5767168,0.9368273622787261,False,True
6,model.layers.0.mlp.up_proj.weight,MLP,"(5767168, 1)",torch.uint8,5767168,0.9368273622787261,False,True
7,model.layers.0.mlp.down_proj.weight,MLP,"(5767168, 1)",torch.uint8,5767168,0.9368273622787261,False,True
8,model.layers.0.input_layernorm.weight,Normalization,"(2048,)",torch.bfloat16,2048,0.00033268017126375217,True,False
9,model.layers.0.post_attention_layernorm.weight,Normalization,"(2048,)",torch.bfloat16,2048,0.00033268017126375217,True,False
10,model.layers.1.self_attn.q_proj.weight,Attention,"(2097152, 1)",torch.uint8,2097152,0.3406644953740822,False,True
11,model.layers.1.self_attn.k_proj.weight,Attention,"(262144, 1)",torch.uint8,262144,0.04258306192176028,False,True
12,model.layers.1.self_attn.v_proj.weight,Attention,"(262144, 1)",torch.uint8,262144,0.04258306192176028,False,True
13,model.layers.1.self_attn.o_proj.weight,Attention,"(2097152, 1)",torch.uint8,2097152,0.3406644953740822,False,True
14,model.layers.1.mlp.gate_proj.weight,MLP,"(5767168, 1)",torch.uint8,5767168,0.9368273622787261,False,True
15,model.layers.1.mlp.up_proj.weight,MLP,"(5767168, 1)",torch.uint8,5767168,0.9368273622787261,False,True
16,model.layers.1.mlp.down_proj.weight,MLP,"(5767168, 1)",torch.uint8,5767168,0.9368273622787261,False,True
17,model.layers.1.input_layernorm.weight,Normalization,"(2048,)",torch.bfloat16,2048,0.00033268017126375217,True,False
18,model.layers.1.post_attention_layernorm.weight,Normalization,"(2048,)",torch.bfloat16,2048,0.00033268017126375217,True,False
19,model.layers.2.self_attn.q_proj.weight,Attention,"(2097152, 1)",torch.uint8,2097152,0.3406644953740822,False,True
20,model.layers.2.self_attn.k_proj.weight,Attention,"(262144, 1)",torch.uint8,262144,0.04258306192176028,False,True
21,model.layers.2.self_attn.v_proj.weight,Attention,"(262144, 1)",torch.uint8,262144,0.04258306192176028,False,True
22,model.layers.2.self_attn.o_proj.weight,Attention,"(2097152, 1)",torch.uint8,2097152,0.3406644953740822,False,True
23,model.layers.2.mlp.gate_proj.weight,MLP,"(5767168, 1)",torch.uint8,5767168,0.9368273622787261,False,True
24,model.layers.2.mlp.up_proj.weight,MLP,"(5767168, 1)",torch.uint8,5767168,0.9368273622787261,False,True
25,model.layers.2.mlp.down_proj.weight,MLP,"(5767168, 1)",torch.uint8,5767168,0.9368273622787261,False,True
26,model.layers.2.input_layernorm.weight,Normalization,"(2048,)",torch.bfloat16,2048,0.00033268017126375217,True,False
27,model.layers.2.post_attention_layernorm.weight,Normalization,"(2048,)",torch.bfloat16,2048,0.00033268017126375217,True,False
28,model.layers.3.self_attn.q_proj.weight,Attention,"(2097152, 1)",torch.uint8,2097152,0.3406644953740822,False,True
29,model.layers.3.self_attn.k_proj.weight,Attention,"(262144, 1)",torch.uint8,262144,0.04258306192176028,False,True
30,model.layers.3.self_attn.v_proj.weight,Attention,"(262144, 1)",torch.uint8,262144,0.04258306192176028,False,True
31,model.layers.3.self_attn.o_proj.weight,Attention,"(2097152, 1)",torch.uint8,2097152,0.3406644953740822,False,True
32,model.layers.3.mlp.gate_proj.weight,MLP,"(5767168, 1)",torch.uint8,5767168,0.9368273622787261,False,True
33,model.layers.3.mlp.up_proj.weight,MLP,"(5767168, 1)",torch.uint8,5767168,0.9368273622787261,False,True
34,model.layers.3.mlp.down_proj.weight,MLP,"(5767168, 1)",torch.uint8,5767168,0.9368273622787261,False,True
35,model.layers.3.input_layernorm.weight,Normalization,"(2048,)",torch.bfloat16,2048,0.00033268017126375217,True,False
36,model.layers.3.post_attention_layernorm.weight,Normalization,"(2048,)",torch.bfloat16,2048,0.00033268017126375217,True,False
37,model.layers.4.self_attn.q_proj.weight,Attention,"(2097152, 1)",torch.uint8,2097152,0.3406644953740822,False,True
38,model.layers.4.self_attn.k_proj.weight,Attention,"(262144, 1)",torch.uint8,262144,0.04258306192176028,False,True
39,model.layers.4.self_attn.v_proj.weight,Attention,"(262144, 1)",torch.uint8,262144,0.04258306192176028,False,True
40,model.layers.4.self_attn.o_proj.weight,Attention,"(2097152, 1)",torch.uint8,2097152,0.3406644953740822,False,True
41,model.layers.4.mlp.gate_proj.weight,MLP,"(5767168, 1)",torch.uint8,5767168,0.9368273622787261,False,True
42,model.layers.4.mlp.up_proj.weight,MLP,"(5767168, 1)",torch.uint8,5767168,0.9368273622787261,False,True
43,model.layers.4.mlp.down_proj.weight,MLP,"(5767168, 1)",torch.uint8,5767168,0.9368273622787261,False,True
44,model.layers.4.input_layernorm.weight,Normalization,"(2048,)",torch.bfloat16,2048,0.00033268017126375217,True,False
45,model.layers.4.post_attention_layernorm.weight,Normalization,"(2048,)",torch.bfloat16,2048,0.00033268017126375217,True,False
46,model.layers.5.self_attn.q_proj.weight,Attention,"(2097152, 1)",torch.uint8,2097152,0.3406644953740822,False,True
47,model.layers.5.self_attn.k_proj.weight,Attention,"(262144, 1)",torch.uint8,262144,0.04258306192176028,False,True
48,model.layers.5.self_attn.v_proj.weight,Attention,"(262144, 1)",torch.uint8,262144,0.04258306192176028,False,True
49,model.layers.5.self_attn.o_proj.weight,Attention,"(2097152, 1)",torch.uint8,2097152,0.3406644953740822,False,True
50,model.layers.5.mlp.gate_proj.weight,MLP,"(5767168, 1)",torch.uint8,5767168,0.9368273622787261,False,True
51,model.layers.5.mlp.up_proj.weight,MLP,"(5767168, 1)",torch.uint8,5767168,0.9368273622787261,False,True
52,model.layers.5.mlp.down_proj.weight,MLP,"(5767168, 1)",torch.uint8,5767168,0.9368273622787261,False,True
53,model.layers.5.input_layernorm.weight,Normalization,"(2048,)",torch.bfloat16,2048,0.00033268017126375217,True,False
54,model.layers.5.post_attention_layernorm.weight,Normalization,"(2048,)",torch.bfloat16,2048,0.00033268017126375217,True,False
55,model.layers.6.self_attn.q_proj.weight,Attention,"(2097152, 1)",torch.uint8,2097152,0.3406644953740822,False,True
56,model.layers.6.self_attn.k_proj.weight,Attention,"(262144, 1)",torch.uint8,262144,0.04258306192176028,False,True
57,model.layers.6.self_attn.v_proj.weight,Attention,"(262144, 1)",torch.uint8,262144,0.04258306192176028,False,True
58,model.layers.6.self_attn.o_proj.weight,Attention,"(2097152, 1)",torch.uint8,2097152,0.3406644953740822,False,True
59,model.layers.6.mlp.gate_proj.weight,MLP,"(5767168, 1)",torch.uint8,5767168,0.9368273622787261,False,True
60,model.layers.6.mlp.up_proj.weight,MLP,"(5767168, 1)",torch.uint8,5767168,0.9368273622787261,False,True
61,model.layers.6.mlp.down_proj.weight,MLP,"(5767168, 1)",torch.uint8,5767168,0.9368273622787261,False,True
62,model.layers.6.input_layernorm.weight,Normalization,"(2048,)",torch.bfloat16,2048,0.00033268017126375217,True,False
63,model.layers.6.post_attention_layernorm.weight,Normalization,"(2048,)",torch.bfloat16,2048,0.00033268017126375217,True,False
64,model.layers.7.self_attn.q_proj.weight,Attention,"(2097152, 1)",torch.uint8,2097152,0.3406644953740822,False,True
