tensor_id,layer_name,shape,mean,std,minimum,maximum,dynamic_range,l1_norm,l2_norm,zero_ratio,non_zero_ratio,histogram
0,model.embed_tokens.weight,"(32000, 2048)",-3.500273351164651e-07,0.014909257180988789,-0.1171875,0.1494140625,0.2666015625,767993.75,119.0439453125,0.0,1.0,"[2.0, 0.0, 1.0, 1.0, 2.0, 3.0, 3.0, 1.0, 7.0, 7.0, 11.0, 22.0, 23.0, 52.0, 74.0, 115.0, 185.0, 430.0, 644.0, 1329.0, 2054.0, 3721.0, 6194.0, 10717.0, 16046.0, 28681.0, 46694.0, 74504.0, 117013.0, 179640.0, 269482.0, 396638.0, 552739.0, 789020.0, 1077867.0, 1433982.0, 1859089.0, 2219544.0, 2870386.0, 3381752.0, 3791931.0, 4349558.0, 4582409.0, 5042309.0, 4790026.0, 4588083.0, 4210744.0, 3841351.0, 3328470.0, 2704426.0, 2291761.0, 1815037.0, 1394831.0, 1045198.0, 765663.0, 534819.0, 383766.0, 261252.0, 174065.0, 113649.0, 73109.0, 45725.0, 26350.0, 17755.0, 10564.0, 6210.0, 3578.0, 2082.0, 1033.0, 716.0, 326.0, 219.0, 96.0, 92.0, 33.0, 26.0, 27.0, 7.0, 4.0, 5.0, 5.0, 6.0, 0.0, 2.0, 3.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
1,model.layers.0.self_attn.q_proj.weight,"(2097152, 1)",121.23558807373047,43.406246185302734,0.0,255.0,255.0,254318848.0,186521.953125,0.00013399124145507812,0.9998660087585449,"[1511.0, 4604.0, 10628.0, 6841.0, 1872.0, 1266.0, 1556.0, 4871.0, 6869.0, 12485.0, 4646.0, 1762.0, 2482.0, 3914.0, 12858.0, 14079.0, 9015.0, 3110.0, 2672.0, 3918.0, 13967.0, 30681.0, 10395.0, 7558.0, 2252.0, 6517.0, 10549.0, 45675.0, 22029.0, 14318.0, 5519.0, 4793.0, 19239.0, 39263.0, 76423.0, 15949.0, 9860.0, 5647.0, 18387.0, 37426.0, 173463.0, 48113.0, 10808.0, 12689.0, 14331.0, 72293.0, 298606.0, 142489.0, 23798.0, 17201.0, 12122.0, 21078.0, 148450.0, 63816.0, 28385.0, 7228.0, 7935.0, 9469.0, 47878.0, 63814.0, 29687.0, 9270.0, 3393.0, 9236.0, 16164.0, 52665.0, 15746.0, 10251.0, 3034.0, 4862.0, 14665.0, 24947.0, 19703.0, 5821.0, 4208.0, 2041.0, 7582.0, 11218.0, 20329.0, 5816.0, 4342.0, 2300.0, 3180.0, 10159.0, 11298.0, 6996.0, 2495.0, 1924.0, 1766.0, 5165.0, 11873.0, 3811.0, 3181.0, 1041.0, 1549.0, 2266.0, 12112.0, 5360.0, 3067.0, 1257.0]"
2,model.layers.0.self_attn.k_proj.weight,"(262144, 1)",120.78226470947266,38.31644058227539,0.0,255.0,255.0,31662348.0,64883.7734375,0.0001068115234375,0.9998931884765625,"[131.0, 416.0, 1557.0, 920.0, 159.0, 101.0, 110.0, 326.0, 631.0, 1322.0, 368.0, 135.0, 178.0, 232.0, 1068.0, 1452.0, 698.0, 190.0, 200.0, 245.0, 992.0, 3021.0, 866.0, 532.0, 165.0, 453.0, 829.0, 4622.0, 2038.0, 1087.0, 415.0, 382.0, 1595.0, 4066.0, 9041.0, 1410.0, 829.0, 566.0, 1526.0, 3996.0, 26071.0, 5130.0, 988.0, 1630.0, 1735.0, 8631.0, 56918.0, 21608.0, 2578.0, 2170.0, 1403.0, 1978.0, 22578.0, 8603.0, 2609.0, 629.0, 774.0, 777.0, 5020.0, 8019.0, 2816.0, 790.0, 324.0, 671.0, 1402.0, 5627.0, 1347.0, 688.0, 256.0, 338.0, 1146.0, 2443.0, 1725.0, 414.0, 272.0, 120.0, 565.0, 947.0, 1915.0, 420.0, 280.0, 167.0, 198.0, 871.0, 1197.0, 549.0, 157.0, 147.0, 125.0, 428.0, 1354.0, 312.0, 213.0, 71.0, 121.0, 204.0, 1893.0, 553.0, 256.0, 103.0]"
3,model.layers.0.self_attn.v_proj.weight,"(262144, 1)",122.42756652832031,57.325843811035156,0.0,255.0,255.0,32093654.0,69217.046875,0.000278472900390625,0.9997215270996094,"[484.0, 1038.0, 1038.0, 1042.0, 518.0, 438.0, 620.0, 1884.0, 1812.0, 2844.0, 1679.0, 813.0, 930.0, 1466.0, 3456.0, 2785.0, 2689.0, 1205.0, 950.0, 1423.0, 3588.0, 5364.0, 2407.0, 2361.0, 756.0, 1933.0, 2616.0, 6049.0, 3487.0, 3368.0, 1683.0, 1169.0, 4095.0, 4362.0, 6876.0, 2846.0, 2686.0, 876.0, 4090.0, 4573.0, 9411.0, 5885.0, 2451.0, 1806.0, 2643.0, 7463.0, 8139.0, 8338.0, 3377.0, 2645.0, 2607.0, 3501.0, 8282.0, 4444.0, 4480.0, 1765.0, 1496.0, 2269.0, 5559.0, 4637.0, 4114.0, 2494.0, 659.0, 2582.0, 2789.0, 5973.0, 2654.0, 2611.0, 840.0, 1584.0, 3576.0, 3543.0, 3812.0, 1637.0, 1389.0, 726.0, 2388.0, 2497.0, 3871.0, 1742.0, 1600.0, 870.0, 1236.0, 2853.0, 2311.0, 2217.0, 991.0, 705.0, 778.0, 1796.0, 2492.0, 1219.0, 1278.0, 464.0, 466.0, 602.0, 1315.0, 800.0, 777.0, 396.0]"
4,model.layers.0.self_attn.o_proj.weight,"(2097152, 1)",122.332763671875,57.0255012512207,0.0,255.0,255.0,256548672.0,195506.09375,0.000244140625,0.999755859375,"[3783.0, 7933.0, 6860.0, 8053.0, 4056.0, 3551.0, 4747.0, 15286.0, 13022.0, 18185.0, 14441.0, 6464.0, 7686.0, 12733.0, 27716.0, 18434.0, 22784.0, 10468.0, 7787.0, 12135.0, 32104.0, 38207.0, 20941.0, 21558.0, 6465.0, 16664.0, 23981.0, 49688.0, 28889.0, 31089.0, 14036.0, 9272.0, 36716.0, 40283.0, 57657.0, 26672.0, 22140.0, 6203.0, 29604.0, 38159.0, 76376.0, 49434.0, 18101.0, 11804.0, 15816.0, 50274.0, 56970.0, 59488.0, 22572.0, 15818.0, 17159.0, 26293.0, 66342.0, 38759.0, 35600.0, 11531.0, 11085.0, 18897.0, 50805.0, 37703.0, 39991.0, 19809.0, 5136.0, 22561.0, 26826.0, 47463.0, 24857.0, 23409.0, 6713.0, 13758.0, 31264.0, 26091.0, 32623.0, 15325.0, 11340.0, 6136.0, 21921.0, 19980.0, 28041.0, 14541.0, 13957.0, 6919.0, 10556.0, 22164.0, 14644.0, 18266.0, 8604.0, 5668.0, 6554.0, 14303.0, 15807.0, 8871.0, 10286.0, 3367.0, 3821.0, 4645.0, 9052.0, 5640.0, 6025.0, 2939.0]"
5,model.layers.0.mlp.gate_proj.weight,"(5767168, 1)",122.4521484375,59.67575454711914,0.0,255.0,255.0,706157504.0,327263.0625,0.0003069097292609513,0.9996930956840515,"[13156.0, 24610.0, 18789.0, 24131.0, 13127.0, 11021.0, 16467.0, 49913.0, 41221.0, 56541.0, 46516.0, 21751.0, 25178.0, 41984.0, 83308.0, 54167.0, 69058.0, 34251.0, 25045.0, 39693.0, 94521.0, 106239.0, 60405.0, 67701.0, 20881.0, 52854.0, 69537.0, 129424.0, 76288.0, 90784.0, 43878.0, 29042.0, 105478.0, 98398.0, 137105.0, 72319.0, 67973.0, 17701.0, 87769.0, 95968.0, 161486.0, 123605.0, 54223.0, 35119.0, 48146.0, 128441.0, 108949.0, 133019.0, 62881.0, 47942.0, 52768.0, 71952.0, 144210.0, 84796.0, 94730.0, 36416.0, 33343.0, 56483.0, 126231.0, 85800.0, 102082.0, 60644.0, 14891.0, 69942.0, 72156.0, 116357.0, 65379.0, 70253.0, 20647.0, 43761.0, 90420.0, 69515.0, 88998.0, 45658.0, 36558.0, 20179.0, 67323.0, 58721.0, 80279.0, 44978.0, 45487.0, 22687.0, 34303.0, 67780.0, 43697.0, 56417.0, 27739.0, 18769.0, 21803.0, 45996.0, 49101.0, 28569.0, 34359.0, 11529.0, 12105.0, 14305.0, 25252.0, 14945.0, 18796.0, 10056.0]"
6,model.layers.0.mlp.up_proj.weight,"(5767168, 1)",122.60855102539062,60.23502731323242,0.0,255.0,255.0,707051072.0,328189.59375,0.0003278905642218888,0.9996721148490906,"[13330.0, 24982.0, 18593.0, 24091.0, 13388.0, 11327.0, 16968.0, 51527.0, 42398.0, 58364.0, 48105.0, 22165.0, 25961.0, 42334.0, 85229.0, 55501.0, 70674.0, 35160.0, 25918.0, 40591.0, 95375.0, 105841.0, 60769.0, 68436.0, 21347.0, 54558.0, 70275.0, 128211.0, 75656.0, 91104.0, 45394.0, 29990.0, 105965.0, 95482.0, 132257.0, 72023.0, 69601.0, 17881.0, 89660.0, 93761.0, 151813.0, 119911.0, 54744.0, 35902.0, 49671.0, 126085.0, 100994.0, 126415.0, 63705.0, 49215.0, 53930.0, 71813.0, 136835.0, 79813.0, 94080.0, 37567.0, 34589.0, 57142.0, 121666.0, 81493.0, 100353.0, 62103.0, 15040.0, 71113.0, 71754.0, 113936.0, 64673.0, 71426.0, 21418.0, 44696.0, 90986.0, 69843.0, 89072.0, 47095.0, 37533.0, 20564.0, 68517.0, 59212.0, 81724.0, 45564.0, 46411.0, 23109.0, 35414.0, 69242.0, 44937.0, 58263.0, 29112.0, 19604.0, 22467.0, 47671.0, 50883.0, 29570.0, 35699.0, 12357.0, 12410.0, 14797.0, 26019.0, 15277.0, 19299.0, 10430.0]"
7,model.layers.0.mlp.down_proj.weight,"(5767168, 1)",122.57530975341797,59.68305969238281,0.0,255.0,255.0,706858112.0,327537.15625,0.0003020546573679894,0.9996979236602783,"[12624.0, 25108.0, 18421.0, 24150.0, 12646.0, 10791.0, 15931.0, 49413.0, 41700.0, 56999.0, 46051.0, 21090.0, 24713.0, 40537.0, 83521.0, 54559.0, 69247.0, 33771.0, 24390.0, 38826.0, 95597.0, 106741.0, 60739.0, 67007.0, 20695.0, 52551.0, 69376.0, 130380.0, 77444.0, 90730.0, 44193.0, 29586.0, 105940.0, 98756.0, 137170.0, 72782.0, 68721.0, 17927.0, 89230.0, 96195.0, 157745.0, 123568.0, 54954.0, 35338.0, 48736.0, 128891.0, 105246.0, 130850.0, 63917.0, 48262.0, 53099.0, 72943.0, 140802.0, 83519.0, 95371.0, 36898.0, 33806.0, 56175.0, 125423.0, 84274.0, 102731.0, 60644.0, 15075.0, 69519.0, 73356.0, 117635.0, 66268.0, 70624.0, 21093.0, 43241.0, 91080.0, 70798.0, 89790.0, 46019.0, 36834.0, 19807.0, 66626.0, 59189.0, 81448.0, 44906.0, 44857.0, 22406.0, 33636.0, 68215.0, 44483.0, 56939.0, 27616.0, 18509.0, 20956.0, 45942.0, 49652.0, 28838.0, 34158.0, 11513.0, 11791.0, 14435.0, 25994.0, 15379.0, 19206.0, 9895.0]"
8,model.layers.0.input_layernorm.weight,"(2048,)",0.005780038423836231,0.04602700099349022,-0.58203125,0.76953125,1.3515625,26.189220428466797,2.098799705505371,0.0,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 6.0, 19.0, 876.0, 956.0, 61.0, 50.0, 24.0, 9.0, 6.0, 4.0, 1.0, 4.0, 1.0, 2.0, 2.0, 2.0, 1.0, 2.0, 0.0, 1.0, 1.0, 2.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
9,model.layers.0.post_attention_layernorm.weight,"(2048,)",0.07458387315273285,0.03311307728290558,-0.0004024505615234375,0.73828125,0.7386837005615234,152.74969482421875,3.6928319931030273,0.0,1.0,"[5.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 0.0, 118.0, 1404.0, 390.0, 58.0, 17.0, 10.0, 8.0, 2.0, 3.0, 1.0, 2.0, 4.0, 4.0, 0.0, 0.0, 2.0, 0.0, 2.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 2.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
